AS1,AS2,Prefix
3333,1273,216.149.72.0/22
1273,3356,216.149.72.0/22
3356,2828,216.149.72.0/22
2828,7014,216.149.72.0/22
START,3333,209.31.244.0/22
3333,1273,209.31.244.0/22
1273,3356,209.31.244.0/22
3356,2828,209.31.244.0/22
2828,7014,209.31.244.0/22
START,3333,216.149.0.0/18
3333,1273,216.149.0.0/18
1273,3356,216.149.0.0/18
3356,2828,216.149.0.0/18
2828,7014,216.149.0.0/18
START,3333,216.149.224.0/19
3333,1273,216.149.224.0/19
1273,3356,216.149.224.0/19
3356,2828,216.149.224.0/19
2828,7014,216.149.224.0/19
START,3333,216.149.64.0/21
3333,1273,216.149.64.0/21
1273,3356,216.149.64.0/21
3356,2828,216.149.64.0/21
2828,7014,216.149.64.0/21
START,3333,216.30.64.0/20
3333,1273,216.30.64.0/20
1273,3356,216.30.64.0/20
3356,2828,216.30.64.0/20
2828,7014,216.30.64.0/20
START,3333,216.149.64.0/21
3333,2828,216.149.64.0/21
2828,7014,216.149.64.0/21
START,3333,216.149.0.0/18
3333,2828,216.149.0.0/18
2828,7014,216.149.0.0/18
START,3333,216.30.64.0/20
3333,2828,216.30.64.0/20
2828,7014,216.30.64.0/20
START,3333,216.5.240.0/20
3333,2828,216.5.240.0/20
2828,7014,216.5.240.0/20
START,3333,216.149.224.0/19
3333,2828,216.149.224.0/19
2828,7014,216.149.224.0/19
START,3333,216.149.72.0/22
3333,2828,216.149.72.0/22
2828,7014,216.149.72.0/22
START,3333,216.149.80.0/20
3333,2828,216.149.80.0/20
2828,7014,216.149.80.0/20
START,3333,207.87.128.0/19
3333,2828,207.87.128.0/19
2828,7014,207.87.128.0/19
START,3333,65.44.0.0/18
3333,2828,65.44.0.0/18
2828,7014,65.44.0.0/18
START,3333,209.31.244.0/22
3333,2828,209.31.244.0/22
2828,7014,209.31.244.0/22
START,7018,216.30.64.0/20
7018,2828,216.30.64.0/20
2828,7014,216.30.64.0/20
START,7018,216.149.72.0/22
7018,2828,216.149.72.0/22
2828,7014,216.149.72.0/22
START,7018,216.149.80.0/20
7018,2828,216.149.80.0/20
2828,7014,216.149.80.0/20
START,7018,216.149.96.0/19
7018,2828,216.149.96.0/19
2828,7014,216.149.96.0/19
START,7018,216.149.224.0/19
7018,2828,216.149.224.0/19
2828,7014,216.149.224.0/19
START,7018,65.44.0.0/18
7018,2828,65.44.0.0/18
2828,7014,65.44.0.0/18
START,7018,207.87.128.0/19
7018,2828,207.87.128.0/19
2828,7014,207.87.128.0/19
START,7018,209.31.244.0/22
7018,2828,209.31.244.0/22
2828,7014,209.31.244.0/22
START,7018,216.149.64.0/21
7018,2828,216.149.64.0/21
2828,7014,216.149.64.0/21
START,7018,216.5.240.0/20
7018,2828,216.5.240.0/20
2828,7014,216.5.240.0/20
START,3333,104.152.47.0/24
3333,8218,104.152.47.0/24
8218,3223,104.152.47.0/24
START,3333,5.254.106.0/24
3333,8218,5.254.106.0/24
8218,3223,5.254.106.0/24
START,3333,185.5.172.0/24
3333,8218,185.5.172.0/24
8218,3223,185.5.172.0/24
START,3333,5.254.107.0/24
3333,8218,5.254.107.0/24
8218,3223,5.254.107.0/24
START,1836,216.149.80.0/20
1836,3356,216.149.80.0/20
3356,2828,216.149.80.0/20
2828,7014,216.149.80.0/20
START,1836,216.149.64.0/21
1836,3356,216.149.64.0/21
3356,2828,216.149.64.0/21
2828,7014,216.149.64.0/21
START,1836,207.87.128.0/19
1836,3356,207.87.128.0/19
3356,2828,207.87.128.0/19
2828,7014,207.87.128.0/19
START,1836,216.149.224.0/19
1836,3356,216.149.224.0/19
3356,2828,216.149.224.0/19
2828,7014,216.149.224.0/19
START,1836,209.31.244.0/22
1836,3356,209.31.244.0/22
3356,2828,209.31.244.0/22
2828,7014,209.31.244.0/22
START,1836,216.149.72.0/22
1836,3356,216.149.72.0/22
3356,2828,216.149.72.0/22
2828,7014,216.149.72.0/22
START,1836,65.44.0.0/18
1836,3356,65.44.0.0/18
3356,2828,65.44.0.0/18
2828,7014,65.44.0.0/18
START,1836,216.149.96.0/19
1836,3356,216.149.96.0/19
3356,2828,216.149.96.0/19
2828,7014,216.149.96.0/19
START,1836,216.30.64.0/20
1836,3356,216.30.64.0/20
3356,2828,216.30.64.0/20
2828,7014,216.30.64.0/20
START,1836,216.5.240.0/20
1836,3356,216.5.240.0/20
3356,2828,216.5.240.0/20
2828,7014,216.5.240.0/20
START,3257,85.133.172.0/22
3257,3491,85.133.172.0/22
3491,12880,85.133.172.0/22
12880,44285,85.133.172.0/22
44285,21341,85.133.172.0/22
21341,39074,85.133.172.0/22
START,3257,85.133.204.0/22
3257,3491,85.133.204.0/22
3491,12880,85.133.204.0/22
12880,44285,85.133.204.0/22
44285,21341,85.133.204.0/22
21341,39074,85.133.204.0/22
START,3257,85.133.164.0/22
3257,3491,85.133.164.0/22
3491,12880,85.133.164.0/22
12880,44285,85.133.164.0/22
44285,21341,85.133.164.0/22
21341,39074,85.133.164.0/22
START,8758,216.149.0.0/18
8758,8220,216.149.0.0/18
8220,3356,216.149.0.0/18
3356,2828,216.149.0.0/18
2828,7014,216.149.0.0/18
START,8758,216.149.80.0/20
8758,8220,216.149.80.0/20
8220,3356,216.149.80.0/20
3356,2828,216.149.80.0/20
2828,7014,216.149.80.0/20
START,8758,216.149.96.0/19
8758,8220,216.149.96.0/19
8220,3356,216.149.96.0/19
3356,2828,216.149.96.0/19
2828,7014,216.149.96.0/19
START,8758,216.30.64.0/20
8758,8220,216.30.64.0/20
8220,3356,216.30.64.0/20
3356,2828,216.30.64.0/20
2828,7014,216.30.64.0/20
START,8758,209.31.244.0/22
8758,8220,209.31.244.0/22
8220,3356,209.31.244.0/22
3356,2828,209.31.244.0/22
2828,7014,209.31.244.0/22
START,8758,216.149.64.0/21
8758,8220,216.149.64.0/21
8220,3356,216.149.64.0/21
3356,2828,216.149.64.0/21
2828,7014,216.149.64.0/21
START,8758,65.44.0.0/18
8758,8220,65.44.0.0/18
8220,3356,65.44.0.0/18
3356,2828,65.44.0.0/18
2828,7014,65.44.0.0/18
START,8758,216.149.224.0/19
8758,8220,216.149.224.0/19
8220,3356,216.149.224.0/19
3356,2828,216.149.224.0/19
2828,7014,216.149.224.0/19
START,8758,216.149.72.0/22
8758,8220,216.149.72.0/22
8220,3356,216.149.72.0/22
3356,2828,216.149.72.0/22
2828,7014,216.149.72.0/22
START,8758,216.5.240.0/20
8758,8220,216.5.240.0/20
8220,3356,216.5.240.0/20
3356,2828,216.5.240.0/20
2828,7014,216.5.240.0/20
START,9304,65.44.0.0/18
9304,6453,65.44.0.0/18
6453,2828,65.44.0.0/18
2828,7014,65.44.0.0/18
START,9304,216.149.72.0/22
9304,6453,216.149.72.0/22
6453,2828,216.149.72.0/22
2828,7014,216.149.72.0/22
START,9304,207.87.128.0/19
9304,6453,207.87.128.0/19
6453,2828,207.87.128.0/19
2828,7014,207.87.128.0/19
START,9304,216.149.80.0/20
9304,6453,216.149.80.0/20
6453,2828,216.149.80.0/20
2828,7014,216.149.80.0/20
START,9304,216.149.0.0/18
9304,6453,216.149.0.0/18
6453,2828,216.149.0.0/18
2828,7014,216.149.0.0/18
START,9304,216.30.64.0/20
9304,6453,216.30.64.0/20
6453,2828,216.30.64.0/20
2828,7014,216.30.64.0/20
START,9304,216.5.240.0/20
9304,6453,216.5.240.0/20
6453,2828,216.5.240.0/20
2828,7014,216.5.240.0/20
START,9304,216.149.224.0/19
9304,6453,216.149.224.0/19
6453,2828,216.149.224.0/19
2828,7014,216.149.224.0/19
START,9304,216.149.96.0/19
9304,6453,216.149.96.0/19
6453,2828,216.149.96.0/19
2828,7014,216.149.96.0/19
START,9304,216.149.64.0/21
9304,6453,216.149.64.0/21
6453,2828,216.149.64.0/21
2828,7014,216.149.64.0/21
START,3333,176.126.236.0/22
3333,8218,176.126.236.0/22
8218,3223,176.126.236.0/22
3223,60118,176.126.236.0/22
START,3333,5.254.125.0/24
3333,8218,5.254.125.0/24
8218,3223,5.254.125.0/24
3223,60118,5.254.125.0/24
START,3333,89.40.21.0/24
3333,8218,89.40.21.0/24
8218,3223,89.40.21.0/24
3223,60118,89.40.21.0/24
START,8758,216.5.240.0/20
8758,8220,216.5.240.0/20
8220,2828,216.5.240.0/20
2828,7014,216.5.240.0/20
START,8758,207.87.128.0/19
8758,8220,207.87.128.0/19
8220,2828,207.87.128.0/19
2828,7014,207.87.128.0/19
START,8758,216.149.80.0/20
8758,8220,216.149.80.0/20
8220,2828,216.149.80.0/20
2828,7014,216.149.80.0/20
START,8758,65.44.0.0/18
8758,8220,65.44.0.0/18
8220,2828,65.44.0.0/18
2828,7014,65.44.0.0/18
START,8758,209.31.244.0/22
8758,8220,209.31.244.0/22
8220,2828,209.31.244.0/22
2828,7014,209.31.244.0/22
START,8758,216.30.64.0/20
8758,8220,216.30.64.0/20
8220,2828,216.30.64.0/20
2828,7014,216.30.64.0/20
START,8758,216.149.64.0/21
8758,8220,216.149.64.0/21
8220,2828,216.149.64.0/21
2828,7014,216.149.64.0/21
START,8758,216.149.96.0/19
8758,8220,216.149.96.0/19
8220,2828,216.149.96.0/19
2828,7014,216.149.96.0/19
START,8758,216.149.0.0/18
8758,8220,216.149.0.0/18
8220,2828,216.149.0.0/18
2828,7014,216.149.0.0/18
START,3333,23.27.224.0/24
3333,8218,23.27.224.0/24
8218,3223,23.27.224.0/24
3223,53587,23.27.224.0/24
START,3333,23.27.226.0/24
3333,8218,23.27.226.0/24
8218,3223,23.27.226.0/24
3223,53587,23.27.226.0/24
START,3333,23.27.15.0/24
3333,8218,23.27.15.0/24
8218,3223,23.27.15.0/24
3223,53587,23.27.15.0/24
START,3333,23.27.221.0/24
3333,8218,23.27.221.0/24
8218,3223,23.27.221.0/24
3223,53587,23.27.221.0/24
START,3333,23.27.223.0/24
3333,8218,23.27.223.0/24
8218,3223,23.27.223.0/24
3223,53587,23.27.223.0/24
START,3333,23.27.222.0/24
3333,8218,23.27.222.0/24
8218,3223,23.27.222.0/24
3223,53587,23.27.222.0/24
START,3333,50.118.175.0/24
3333,8218,50.118.175.0/24
8218,3223,50.118.175.0/24
3223,53587,50.118.175.0/24
START,3333,23.27.227.0/24
3333,8218,23.27.227.0/24
8218,3223,23.27.227.0/24
3223,53587,23.27.227.0/24
START,9304,65.44.0.0/18
9304,2914,65.44.0.0/18
2914,2828,65.44.0.0/18
2828,7014,65.44.0.0/18
START,9304,216.149.72.0/22
9304,2914,216.149.72.0/22
2914,2828,216.149.72.0/22
2828,7014,216.149.72.0/22
START,9304,207.87.128.0/19
9304,2914,207.87.128.0/19
2914,2828,207.87.128.0/19
2828,7014,207.87.128.0/19
START,9304,216.149.80.0/20
9304,2914,216.149.80.0/20
2914,2828,216.149.80.0/20
2828,7014,216.149.80.0/20
START,9304,216.149.0.0/18
9304,2914,216.149.0.0/18
2914,2828,216.149.0.0/18
2828,7014,216.149.0.0/18
START,9304,216.30.64.0/20
9304,2914,216.30.64.0/20
2914,2828,216.30.64.0/20
2828,7014,216.30.64.0/20
START,9304,216.5.240.0/20
9304,2914,216.5.240.0/20
2914,2828,216.5.240.0/20
2828,7014,216.5.240.0/20
START,9304,216.149.224.0/19
9304,2914,216.149.224.0/19
2914,2828,216.149.224.0/19
2828,7014,216.149.224.0/19
START,9304,216.149.96.0/19
9304,2914,216.149.96.0/19
2914,2828,216.149.96.0/19
2828,7014,216.149.96.0/19
START,9304,216.149.64.0/21
9304,2914,216.149.64.0/21
2914,2828,216.149.64.0/21
2828,7014,216.149.64.0/21
START,7018,216.205.248.0/22
7018,701,216.205.248.0/22
701,20374,216.205.248.0/22
START,3333,185.10.68.0/22
3333,8218,185.10.68.0/22
8218,3223,185.10.68.0/22
3223,198599,185.10.68.0/22
START,3333,37.228.139.0/24
3333,8218,37.228.139.0/24
8218,3223,37.228.139.0/24
3223,198599,37.228.139.0/24
START,3333,95.156.239.0/24
3333,8218,95.156.239.0/24
8218,3223,95.156.239.0/24
3223,198599,95.156.239.0/24
START,3333,37.228.140.0/24
3333,8218,37.228.140.0/24
8218,3223,37.228.140.0/24
3223,198599,37.228.140.0/24
START,3333,134.255.251.0/24
3333,8218,134.255.251.0/24
8218,3223,134.255.251.0/24
3223,198599,134.255.251.0/24
START,3333,89.144.6.0/24
3333,8218,89.144.6.0/24
8218,3223,89.144.6.0/24
3223,198599,89.144.6.0/24
START,3333,185.101.92.0/22
3333,8218,185.101.92.0/22
8218,3223,185.101.92.0/22
3223,198599,185.101.92.0/22
START,3333,37.228.130.0/24
3333,8218,37.228.130.0/24
8218,3223,37.228.130.0/24
3223,198599,37.228.130.0/24
START,3333,185.94.252.0/24
3333,8218,185.94.252.0/24
8218,3223,185.94.252.0/24
3223,198599,185.94.252.0/24
START,3333,37.228.128.0/24
3333,8218,37.228.128.0/24
8218,3223,37.228.128.0/24
3223,198599,37.228.128.0/24
START,3333,37.228.132.0/24
3333,8218,37.228.132.0/24
8218,3223,37.228.132.0/24
3223,198599,37.228.132.0/24
START,3333,109.230.243.0/24
3333,8218,109.230.243.0/24
8218,3223,109.230.243.0/24
3223,198599,109.230.243.0/24
START,3333,185.107.192.0/22
3333,8218,185.107.192.0/22
8218,3223,185.107.192.0/22
3223,198599,185.107.192.0/22
START,7018,216.205.248.0/22
7018,701,216.205.248.0/22
701,20374,216.205.248.0/22
START,3257,185.84.160.0/22
3257,12389,185.84.160.0/22
12389,29049,185.84.160.0/22
29049,12880,185.84.160.0/22
12880,43343,185.84.160.0/22
43343,57235,185.84.160.0/22
START,3333,89.39.89.0/24
3333,8218,89.39.89.0/24
8218,3223,89.39.89.0/24
3223,62305,89.39.89.0/24
START,3333,86.104.211.0/24
3333,8218,86.104.211.0/24
8218,3223,86.104.211.0/24
3223,62305,86.104.211.0/24
START,3333,185.23.16.0/24
3333,8218,185.23.16.0/24
8218,3223,185.23.16.0/24
START,3333,91.217.232.0/24
3333,8218,91.217.232.0/24
8218,3223,91.217.232.0/24
START,8758,85.133.204.0/22
8758,6830,85.133.204.0/22
6830,3491,85.133.204.0/22
3491,12880,85.133.204.0/22
12880,44285,85.133.204.0/22
44285,21341,85.133.204.0/22
21341,39074,85.133.204.0/22
START,8758,85.133.236.0/22
8758,6830,85.133.236.0/22
6830,3491,85.133.236.0/22
3491,12880,85.133.236.0/22
12880,44285,85.133.236.0/22
44285,21341,85.133.236.0/22
21341,39074,85.133.236.0/22
START,8758,85.133.172.0/22
8758,6830,85.133.172.0/22
6830,3491,85.133.172.0/22
3491,12880,85.133.172.0/22
12880,44285,85.133.172.0/22
44285,21341,85.133.172.0/22
21341,39074,85.133.172.0/22
START,8758,216.205.252.0/24
8758,174,216.205.252.0/24
174,701,216.205.252.0/24
701,20374,216.205.252.0/24
START,3333,93.119.26.0/24
3333,8218,93.119.26.0/24
8218,3223,93.119.26.0/24
3223,60118,93.119.26.0/24
60118,48401,93.119.26.0/24
START,3257,216.149.0.0/18
3257,2828,216.149.0.0/18
2828,7014,216.149.0.0/18
START,3257,216.5.240.0/20
3257,2828,216.5.240.0/20
2828,7014,216.5.240.0/20
START,3257,216.149.64.0/21
3257,2828,216.149.64.0/21
2828,7014,216.149.64.0/21
START,3257,65.44.0.0/18
3257,2828,65.44.0.0/18
2828,7014,65.44.0.0/18
START,3257,207.87.128.0/19
3257,2828,207.87.128.0/19
2828,7014,207.87.128.0/19
START,3257,216.149.224.0/19
3257,2828,216.149.224.0/19
2828,7014,216.149.224.0/19
START,3257,216.149.96.0/19
3257,2828,216.149.96.0/19
2828,7014,216.149.96.0/19
START,3257,216.149.72.0/22
3257,2828,216.149.72.0/22
2828,7014,216.149.72.0/22
START,3257,216.30.64.0/20
3257,2828,216.30.64.0/20
2828,7014,216.30.64.0/20
START,3257,209.31.244.0/22
3257,2828,209.31.244.0/22
2828,7014,209.31.244.0/22
START,1836,41.63.56.0/22
1836,13030,41.63.56.0/22
13030,1299,41.63.56.0/22
1299,174,41.63.56.0/22
174,36944,41.63.56.0/22
36944,37532,41.63.56.0/22
START,1836,41.63.52.0/22
1836,13030,41.63.52.0/22
13030,1299,41.63.52.0/22
1299,174,41.63.52.0/22
174,36944,41.63.52.0/22
36944,37532,41.63.52.0/22
START,1836,204.80.242.0/24
1836,174,204.80.242.0/24
174,7922,204.80.242.0/24
7922,33651,204.80.242.0/24
33651,54169,204.80.242.0/24
START,1836,192.43.161.0/24
1836,174,192.43.161.0/24
174,1239,192.43.161.0/24
1239,33020,192.43.161.0/24
START,1836,85.133.204.0/22
1836,13030,85.133.204.0/22
13030,3491,85.133.204.0/22
3491,12880,85.133.204.0/22
12880,44285,85.133.204.0/22
44285,21341,85.133.204.0/22
21341,39074,85.133.204.0/22
START,1836,85.133.236.0/22
1836,13030,85.133.236.0/22
13030,3491,85.133.236.0/22
3491,12880,85.133.236.0/22
12880,44285,85.133.236.0/22
44285,21341,85.133.236.0/22
21341,39074,85.133.236.0/22
START,1836,85.133.164.0/22
1836,13030,85.133.164.0/22
13030,3491,85.133.164.0/22
3491,12880,85.133.164.0/22
12880,44285,85.133.164.0/22
44285,21341,85.133.164.0/22
21341,39074,85.133.164.0/22
START,8758,85.133.204.0/22
8758,8220,85.133.204.0/22
8220,3491,85.133.204.0/22
3491,12880,85.133.204.0/22
12880,44285,85.133.204.0/22
44285,21341,85.133.204.0/22
21341,39074,85.133.204.0/22
START,8758,85.133.236.0/22
8758,8220,85.133.236.0/22
8220,3491,85.133.236.0/22
3491,12880,85.133.236.0/22
12880,44285,85.133.236.0/22
44285,21341,85.133.236.0/22
21341,39074,85.133.236.0/22
START,8758,85.133.172.0/22
8758,8220,85.133.172.0/22
8220,3491,85.133.172.0/22
3491,12880,85.133.172.0/22
12880,44285,85.133.172.0/22
44285,21341,85.133.172.0/22
21341,39074,85.133.172.0/22
START,3333,185.62.191.0/24
3333,8218,185.62.191.0/24
8218,3223,185.62.191.0/24
3223,60033,185.62.191.0/24
START,3333,188.209.49.0/24
3333,8218,188.209.49.0/24
8218,3223,188.209.49.0/24
3223,60033,188.209.49.0/24
START,3333,185.11.147.0/24
3333,8218,185.11.147.0/24
8218,3223,185.11.147.0/24
3223,60033,185.11.147.0/24
START,3333,188.209.52.0/24
3333,8218,188.209.52.0/24
8218,3223,188.209.52.0/24
3223,60033,188.209.52.0/24
START,3333,185.62.188.0/24
3333,8218,185.62.188.0/24
8218,3223,185.62.188.0/24
3223,60033,185.62.188.0/24
START,3333,185.62.189.0/24
3333,8218,185.62.189.0/24
8218,3223,185.62.189.0/24
3223,60033,185.62.189.0/24
START,3333,185.11.145.0/24
3333,8218,185.11.145.0/24
8218,3223,185.11.145.0/24
3223,60033,185.11.145.0/24
START,3333,185.62.190.0/24
3333,8218,185.62.190.0/24
8218,3223,185.62.190.0/24
3223,60033,185.62.190.0/24
START,3333,188.209.53.0/24
3333,8218,188.209.53.0/24
8218,3223,188.209.53.0/24
3223,60033,188.209.53.0/24
START,3333,185.11.146.0/24
3333,8218,185.11.146.0/24
8218,3223,185.11.146.0/24
3223,60033,185.11.146.0/24
START,57821,207.87.128.0/19
57821,12586,207.87.128.0/19
12586,3257,207.87.128.0/19
3257,2828,207.87.128.0/19
2828,7014,207.87.128.0/19
START,57821,216.149.80.0/20
57821,12586,216.149.80.0/20
12586,3257,216.149.80.0/20
3257,2828,216.149.80.0/20
2828,7014,216.149.80.0/20
START,57821,209.31.244.0/22
57821,12586,209.31.244.0/22
12586,3257,209.31.244.0/22
3257,2828,209.31.244.0/22
2828,7014,209.31.244.0/22
START,57821,216.149.0.0/18
57821,12586,216.149.0.0/18
12586,3257,216.149.0.0/18
3257,2828,216.149.0.0/18
2828,7014,216.149.0.0/18
START,57821,216.149.64.0/21
57821,12586,216.149.64.0/21
12586,3257,216.149.64.0/21
3257,2828,216.149.64.0/21
2828,7014,216.149.64.0/21
START,57821,216.5.240.0/20
57821,12586,216.5.240.0/20
12586,3257,216.5.240.0/20
3257,2828,216.5.240.0/20
2828,7014,216.5.240.0/20
START,57821,216.30.64.0/20
57821,12586,216.30.64.0/20
12586,3257,216.30.64.0/20
3257,2828,216.30.64.0/20
2828,7014,216.30.64.0/20
START,57821,216.149.224.0/19
57821,12586,216.149.224.0/19
12586,3257,216.149.224.0/19
3257,2828,216.149.224.0/19
2828,7014,216.149.224.0/19
START,57821,216.149.72.0/22
57821,12586,216.149.72.0/22
12586,3257,216.149.72.0/22
3257,2828,216.149.72.0/22
2828,7014,216.149.72.0/22
START,57821,216.149.96.0/19
57821,12586,216.149.96.0/19
12586,3257,216.149.96.0/19
3257,2828,216.149.96.0/19
2828,7014,216.149.96.0/19
START,57821,65.44.0.0/18
57821,12586,65.44.0.0/18
12586,3257,65.44.0.0/18
3257,2828,65.44.0.0/18
2828,7014,65.44.0.0/18
START,57821,216.205.252.0/24
57821,12586,216.205.252.0/24
12586,3257,216.205.252.0/24
3257,3356,216.205.252.0/24
3356,20374,216.205.252.0/24
START,57821,41.63.56.0/22
57821,12586,41.63.56.0/22
12586,1299,41.63.56.0/22
1299,174,41.63.56.0/22
174,36944,41.63.56.0/22
36944,37532,41.63.56.0/22
START,57821,41.63.16.0/22
57821,12586,41.63.16.0/22
12586,1299,41.63.16.0/22
1299,174,41.63.16.0/22
174,36944,41.63.16.0/22
36944,37532,41.63.16.0/22
START,3333,198.251.85.0/24
3333,8218,198.251.85.0/24
8218,3223,198.251.85.0/24
START,6881,185.84.160.0/22
6881,20485,185.84.160.0/22
20485,29049,185.84.160.0/22
29049,12880,185.84.160.0/22
12880,56466,185.84.160.0/22
56466,57235,185.84.160.0/22
START,6881,204.28.10.0/23
6881,3257,204.28.10.0/23
3257,53321,204.28.10.0/23
START,6881,41.63.52.0/22
6881,15685,41.63.52.0/22
15685,1299,41.63.52.0/22
1299,174,41.63.52.0/22
174,36944,41.63.52.0/22
36944,37532,41.63.52.0/22
START,6881,41.63.56.0/22
6881,15685,41.63.56.0/22
15685,1299,41.63.56.0/22
1299,174,41.63.56.0/22
174,36944,41.63.56.0/22
36944,37532,41.63.56.0/22
START,6881,216.205.252.0/24
6881,15685,216.205.252.0/24
15685,6939,216.205.252.0/24
6939,701,216.205.252.0/24
701,20374,216.205.252.0/24
START,6881,186.5.190.0/24
6881,25512,186.5.190.0/24
25512,174,186.5.190.0/24
174,6762,186.5.190.0/24
6762,7303,186.5.190.0/24
7303,27983,186.5.190.0/24
27983,27971,186.5.190.0/24
START,6881,200.63.112.0/24
6881,25512,200.63.112.0/24
25512,174,200.63.112.0/24
174,6762,200.63.112.0/24
6762,7303,200.63.112.0/24
7303,27983,200.63.112.0/24
27983,27971,200.63.112.0/24
START,6881,200.63.113.0/24
6881,25512,200.63.113.0/24
25512,174,200.63.113.0/24
174,6762,200.63.113.0/24
6762,7303,200.63.113.0/24
7303,27983,200.63.113.0/24
27983,27971,200.63.113.0/24
START,6881,200.63.115.0/24
6881,25512,200.63.115.0/24
25512,174,200.63.115.0/24
174,6762,200.63.115.0/24
6762,7303,200.63.115.0/24
7303,27983,200.63.115.0/24
27983,27971,200.63.115.0/24
START,6881,200.63.117.0/24
6881,25512,200.63.117.0/24
25512,174,200.63.117.0/24
174,6762,200.63.117.0/24
6762,7303,200.63.117.0/24
7303,27983,200.63.117.0/24
27983,27971,200.63.117.0/24
START,6881,200.63.118.0/24
6881,25512,200.63.118.0/24
25512,174,200.63.118.0/24
174,6762,200.63.118.0/24
6762,7303,200.63.118.0/24
7303,27983,200.63.118.0/24
27983,27971,200.63.118.0/24
START,6881,209.31.244.0/22
6881,15685,209.31.244.0/22
15685,6939,209.31.244.0/22
6939,2828,209.31.244.0/22
2828,7014,209.31.244.0/22
START,6881,216.30.64.0/20
6881,15685,216.30.64.0/20
15685,6939,216.30.64.0/20
6939,2828,216.30.64.0/20
2828,7014,216.30.64.0/20
START,6881,216.149.0.0/18
6881,15685,216.149.0.0/18
15685,6939,216.149.0.0/18
6939,2828,216.149.0.0/18
2828,7014,216.149.0.0/18
START,6881,216.149.64.0/21
6881,15685,216.149.64.0/21
15685,6939,216.149.64.0/21
6939,2828,216.149.64.0/21
2828,7014,216.149.64.0/21
START,6881,216.149.72.0/22
6881,15685,216.149.72.0/22
15685,6939,216.149.72.0/22
6939,2828,216.149.72.0/22
2828,7014,216.149.72.0/22
START,6881,216.149.80.0/20
6881,15685,216.149.80.0/20
15685,6939,216.149.80.0/20
6939,2828,216.149.80.0/20
2828,7014,216.149.80.0/20
START,6881,216.149.96.0/19
6881,15685,216.149.96.0/19
15685,6939,216.149.96.0/19
6939,2828,216.149.96.0/19
2828,7014,216.149.96.0/19
START,6881,216.5.240.0/20
6881,15685,216.5.240.0/20
15685,6939,216.5.240.0/20
6939,2828,216.5.240.0/20
2828,7014,216.5.240.0/20
START,6881,216.149.224.0/19
6881,15685,216.149.224.0/19
15685,6939,216.149.224.0/19
6939,2828,216.149.224.0/19
2828,7014,216.149.224.0/19
START,3333,5.254.104.0/24
3333,8218,5.254.104.0/24
8218,3223,5.254.104.0/24
START,3333,109.163.224.0/24
3333,8218,109.163.224.0/24
8218,3223,109.163.224.0/24
START,3333,93.115.88.0/22
3333,8218,93.115.88.0/22
8218,3223,93.115.88.0/22
START,3333,5.254.88.0/23
3333,8218,5.254.88.0/23
8218,3223,5.254.88.0/23
START,3333,37.221.168.0/23
3333,8218,37.221.168.0/23
8218,3223,37.221.168.0/23
START,9304,41.63.52.0/22
9304,15412,41.63.52.0/22
15412,1299,41.63.52.0/22
1299,174,41.63.52.0/22
174,36944,41.63.52.0/22
36944,37532,41.63.52.0/22
START,9304,41.63.56.0/22
9304,15412,41.63.56.0/22
15412,1299,41.63.56.0/22
1299,174,41.63.56.0/22
174,36944,41.63.56.0/22
36944,37532,41.63.56.0/22
START,9304,41.63.52.0/22
9304,15412,41.63.52.0/22
15412,1299,41.63.52.0/22
1299,174,41.63.52.0/22
174,36944,41.63.52.0/22
36944,37532,41.63.52.0/22
START,9304,41.63.56.0/22
9304,15412,41.63.56.0/22
